Quarter,Month,BARCODE,FRM_WHID,SPL_ID,ITEM_ID,ITEM_NAME,MAIN_UNIT,QTY,FREE_QTY,QTY_ALL,QTY_UNIT,CURNT_COST_L,TTL_CST,PRICE,PRICE1,PRICE_UNIT,TTL_VAL,TTL_VAL_B4_DIS
Qtr 2,June,6287029390020,34,599,133036,اورجينال فانيلا بالسمسم125جم,حبة,2,0,2,2,18.7,37.4,26.956521739130434,26.956521739130434,26.956521739130434,53.91304347826087,53.91304347826087
Qtr 2,June,6287029390020,35,599,133036,اورجينال فانيلا بالسمسم125جم,حبة,1,0,1,1,18.7,18.7,26.956521739130434,26.956521739130434,26.956521739130434,26.956521739130434,26.956521739130434
Qtr 2,May,6287029390020,62,599,133036,اورجينال فانيلا بالسمسم125جم,حبة,1,0,1,1,18.7,18.7,26.956521739130434,26.956521739130434,26.956521739130434,26.956521739130434,26.956521739130434
Qtr 2,May,6287029390037,20,599,133040,اورجينال فانيلا بالسمسم250جم,حبة,1,0,1,1,33.04,33.04,46.95652173913044,46.95652173913044,46.95652173913044,46.95652173913044,46.95652173913044
Qtr 2,June,6287029390037,54,599,133040,اورجينال فانيلا بالسمسم250جم,حبة,1,0,1,1,33.04,33.04,46.95652173913044,46.95652173913044,46.95652173913044,46.95652173913044,46.95652173913044
Qtr 2,June,6287029390037,7,599,133040,اورجينال فانيلا بالسمسم250جم,حبة,1,0,1,1,33.04,33.04,46.95652173913044,46.95652173913044,46.95652173913044,46.95652173913044,46.95652173913044
Qtr 2,May,6287029390051,1,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,June,6287029390051,1,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,May,6287029390051,13,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,June,6287029390051,20,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,May,6287029390051,24,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,June,6287029390051,30,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,June,6287029390051,35,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,June,6287029390051,4,599,133038,بيكان قرفة وتفاح125جم,حبة,2,0,2,2,42.6,42.6,60.869565217391305,60.869565217391305,60.869565217391305,60.869565217391305,60.869565217391305
Qtr 2,June,6287029390051,46,599,133038,بيكان قرفة وتفاح125جم,حبة,5,0,5,5,106.5,106.5,152.17391304347825,152.17391304347825,152.17391304347825,152.17391304347825,152.17391304347825
Qtr 2,June,6287029390051,48,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,May,6287029390051,58,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,June,6287029390051,58,599,133038,بيكان قرفة وتفاح125جم,حبة,2,0,2,2,42.6,42.6,60.869565217391305,60.869565217391305,60.869565217391305,60.869565217391305,60.869565217391305
Qtr 2,June,6287029390051,62,599,133038,بيكان قرفة وتفاح125جم,حبة,4,0,4,4,63.900000000000006,85.2,91.30434782608695,91.30434782608695,91.30434782608695,121.73913043478261,121.73913043478261
Qtr 2,June,6287029390051,64,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,May,6287029390051,7,599,133038,بيكان قرفة وتفاح125جم,حبة,1,0,1,1,21.3,21.3,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652
Qtr 2,June,6287029390051,72,599,133038,بيكان قرفة وتفاح125جم,حبة,3,0,3,3,63.900000000000006,63.900000000000006,91.30434782608695,91.30434782608695,91.30434782608695,91.30434782608695,91.30434782608695
Qtr 2,May,6287029390068,1,599,133042,بيكان قرفة وتفاح250جم,حبة,1,0,1,1,37.39,37.39,53.04347826086956,53.04347826086956,53.04347826086956,53.04347826086956,53.04347826086956
Qtr 2,June,6287029390068,30,599,133042,بيكان قرفة وتفاح250جم,حبة,1,0,1,1,37.39,37.39,53.04347826086956,53.04347826086956,53.04347826086956,53.04347826086956,53.04347826086956
Qtr 2,June,6287029390068,35,599,133042,بيكان قرفة وتفاح250جم,حبة,1,0,1,1,37.39,37.39,53.04347826086956,53.04347826086956,53.04347826086956,53.04347826086956,53.04347826086956
